# Hanja → Hangul (Sino-Korean) reading table.
#
# Derived from the Unicode Character Database (Unihan), Unicode 17.0.0.
#   Source: https://www.unicode.org/Public/UCD/latest/ucd/Unihan.zip
#   © Unicode, Inc. — Unicode License: https://www.unicode.org/terms_of_use.html
#
# Each line: <Han codepoint hex>\t<single Hangul syllable>.
#  - Traditional/shared: the standard South Korean (educational, "E" flag)
#    kHangul reading, else the first reading. Canonical (non-두음) form;
#    두음법칙 is applied at runtime by package hanja.
#  - Simplified: resolved via kTraditionalVariant to its Traditional form’s
#    reading, so 时→시, 发→발 (the Korean reading of the equivalent Hanja).
# Regenerate: see internal/hanja/README.md.
3469	라
347A	준
349A	온
34D7	결
3515	글
3521	별
35FF	하
3614	새
363D	재
366F	예
36C3	결
36C4	의
36C5	이
36E6	람
3723	연
372F	희
373A	찬
3762	우
3766	준
37BC	승
380C	기
3818	서
3883	랑
38BA	현
38E7	윤
38FD	서
392D	교
3960	서
3965	우
396A	루
3983	산
3986	하
3990	니
3995	륭
39A5	헌
39B3	재
39B6	용
39D1	휘
39DB	람
3A39	설
3AA4	필
3ADC	단
3AF0	랑
3AF6	주
3B03	대
3B23	대
3B74	견
3B79	현
3BDD	로
3BF3	경
3C14	섭
3C24	하
3C2D	후
3CBD	인
3CBE	우
3CBF	왕
3CE0	달
3CFC	필
3CFD	미
3D0B	숙
3D0D	승
3D17	유
3D5F	미
3DBC	애
3DC2	서
3EC4	보
3EEA	선
3EED	슬
3EFD	선
3F04	기
402D	해
402F	보
4034	영
4062	선
40A9	연
40C9	민
4104	인
4137	석
41AC	운
4259	운
4264	수
4337	주
4338	견
4339	경
433D	채
43BB	주
43C7	표
43DD	전
43E7	나
43EA	이
4450	진
44BF	료
44E8	앵
4512	배
45F2	린
4618	소
46B7	혜
46BE	임
46D4	나
46D8	임
46DD	노
4723	은
4729	연
472D	예
476C	주
476E	현
477D	애
4790	춘
479F	백
4863	헌
4883	예
4896	건
48A6	솔
4925	귀
493F	결
4985	선
499E	윤
49A5	한
49CB	현
4A12	우
4A2D	소
4A44	전
4AB8	민
4ADF	운
4AE8	오
4AFB	율
4B53	안
4B71	별
4CA1	추
4CDF	명
4CE0	수
4D14	교
4D16	청
4D1B	소
4D65	울
4DAE	엄
4E00	일
4E01	정
4E03	칠
4E07	만
4E08	장
4E09	삼
4E0A	상
4E0B	하
4E0D	불
4E0E	여
4E11	축
4E13	전
4E14	차
4E15	비
4E16	세
4E18	구
4E19	병
4E1A	업
4E1B	총
4E1C	동
4E1D	사
4E1E	승
4E1F	주
4E22	주
4E24	량
4E25	엄
4E26	병
4E27	상
4E2A	개
4E2B	아
4E2D	중
4E30	봉
4E31	관
4E32	곶
4E34	림
4E38	환
4E39	단
4E3A	위
4E3B	주
4E3D	려
4E42	예
4E43	내
4E45	구
4E48	요
4E49	의
4E4B	지
4E4C	오
4E4D	사
4E4E	호
4E4F	핍
4E50	락
4E54	교
4E56	괴
4E58	승
4E59	을
4E5D	구
4E5E	걸
4E5F	야
4E60	습
4E66	서
4E67	둘
4E6B	갈
4E6C	걸
4E6D	돌
4E70	매
4E71	란
4E73	유
4E76	볼
4E77	살
4E79	건
4E7A	솔
4E7B	얼
4E7C	줄
4E7E	건
4E82	란
4E86	료
4E88	여
4E89	쟁
4E8B	사
4E8C	이
4E8E	우
4E8F	우
4E90	울
4E91	운
4E92	호
4E94	오
4E95	정
4E98	긍
4E99	긍
4E9A	아
4E9B	사
4E9C	아
4E9E	아
4E9F	극
4EA1	망
4EA2	항
4EA4	교
4EA5	해
4EA6	역
4EA7	산
4EA8	형
4EA9	묘
4EAB	향
4EAC	경
4EAD	정
4EAE	량
4EB0	경
4EB2	친
4EB3	박
4EB4	우
4EB5	설
4EB6	단
4EB9	미
4EBA	인
4EBF	억
4EC0	십
4EC1	인
4EC4	측
4EC5	근
4EC6	부
4EC7	구
4ECA	금
4ECB	개
4ECD	잉
4ECE	종
4ED1	륜
4ED3	창
4ED4	자
4ED5	사
4ED6	타
4ED7	장
4ED8	부
4ED9	선
4EDD	동
4EDE	인
4EDF	천
4EE1	흘
4EE3	대
4EE4	령
4EE5	이
4EEA	의
4EEC	문
4EEE	가
4EF0	앙
4EF2	중
4EF3	비
4EF5	오
4EF6	건
4EF7	개
4EFB	임
4EFD	빈
4EFF	방
4F00	종
4F01	기
4F03	여
4F09	항
4F0A	이
4F0B	급
4F0D	오
4F0E	기
4F0F	복
4F10	벌
4F11	휴
4F17	중
4F18	우
4F19	과
4F1A	회
4F1B	구
4F1E	산
4F1F	위
4F20	전
4F23	현
4F24	상
4F25	창
4F26	륜
4F27	창
4F2A	위
4F2B	저
4F2F	백
4F30	고
4F34	반
4F36	령
4F38	신
4F3A	사
4F3C	사
4F3D	가
4F3E	비
4F42	정
4F43	전
4F46	단
4F47	저
4F48	포
4F49	구
4F4B	소
4F4D	위
4F4E	저
4F4F	주
4F50	좌
4F51	우
4F53	분
4F54	점
4F55	하
4F56	필
4F57	타
4F59	여
4F5A	일
4F5B	불
4F5C	작
4F5D	구
4F5E	녕
4F5F	퉁
4F63	용
4F65	첨
4F69	패
4F6A	회
4F6F	양
4F70	백
4F73	가
4F74	이
4F76	길
4F78	괄
4F79	궤
4F7A	전
4F7B	조
